recipe_title,description,cuisine,course,diet,ingredients,instructions
Vegetarian Pumpkin Tagine Recipe,"The Pumpkin Tagine Recipe is a delicious Moroccan inspired dish, that is quick and simple to make for a weeknight dinner. It is a one pot dish, that can either be served with rice, couscous or bread. The tagine is a stew-like dish that is most often served along with couscous (similar to broken wheat) or can even be served along with injera (an Ethiopian Flat Bread) or  .   Pumpkin is an extremely nutrient dense food, meaning it is chock-full of vitamins and minerals but low on calories. Consuming one cup of cooked, canned pumpkin would provide well over 100% of your daily needs for vitamin A, 20% of the daily value for vitamin C, 10% or more for vitamin E, riboflavin, potassium, copper and manganese, thiamin, B-6, folate, pantothenic acid, niacin, iron, magnesium, and phosphorus.  If you like this recipe, here are more Moroccan recipes that you can also try",African,Side Dish,Vegetarian,Kaddu (Parangikai/ Pumpkin)|Onion|Garlic|Tomatoes|Turmeric powder (Haldi)|Cumin powder (Jeera)|Sambal oelek|Paprika powder|Sugar|Parsley leaves,"To begin making the Pumpkin Tagine Recipe, first cook the lentils until soft but not mushy. To cook the lentils in a pressure cooker, place the lentils the cooker along with 2 cups of water and salt. Cover the cooker, place the weight on and cook until you hear one whistle. After the first whistle, turn the heat to low and allow the lentils to simmer for about 3 minutes and turn off the heat.|Allow the pressure to release naturally. Once the pressure is released, open the cooker and keep the lentils aside.|The next step is to stew the tomatoes, roughly chop them and keep aside. |. The link shows you how to puree tomatoes, but for this recipe, chopped tomatoes work well. |Get the vegetable stock ready too. | If you don't find the time to make vegetable stock, then you can use water and adjust the spices in the Tagine to bring out the flavors. |Next step is to make the Pumpkin Tagine. Heat oil in a heavy bottomed pan or a Tagine. Add in the onions and garlic and saute until the onions are soft and tender. |Once the onions are soft, add in the turmeric powder, cumin powder, sambal oelek, paprika or chilli powder, sugar, salt and the tomatoes and pumpkin. Saute until the vegetables get partially cooked.|Next add in the cooked lentils, stir it into the pumpkin tagine and check the salt and spice levels. Adjust to suit your taste. Cover the large pan or the tagine and simmer for about 15 minutes until all of them come together with the spices and are perfectly cooked.|Turn off the heat and the Pumpkin Tagine is ready to be served along with your favorite spiced rice or couscous or |."
Moroccan Spiced Millet And Lentil Salad Recipe,"Moroccan spiced millet and lentil salad, a healthy and fulfilling salad that can be relished at room temperature or cold. Addition of Moroccan spice blend to this salad makes it very flavourful and unique from the regular millet salads. We can add a choice of veggies and fruits to this millet lentil salad to make it more healthy. It is very easy to make yet very tasty. Serve Moroccan Spiced Millet And Lentil Salad along with   for weeknight dinner. If you like this recipe, you can also try other Salad recipes such as",African,Dinner,Vegetarian,Foxtail Millet|Mixed lentils|Onion|Carrot (Gajjar)|Tomato|Cucumber|Dates|Orange|Anardana Powder (Pomegranate Seed Powder)|Parsley leaves|Mint Leaves (Pudina)|Extra Virgin Olive Oil|Fresh orange juice|Lemon juice|Ras el hanout spice blend|Kosher salt,"To begin making the Moroccan Spiced Millet And Lentil Salad recipe, cook millet in 1 : 2 water for 3 whistles. Spread on a plate and allow to cool. |Cook lentils in 1: 3 water for 3 whistles. Allow to cool. |Take a mixing bowl. Throw in millet, lentils, onions, carrot, tomato, cucumber, dates, orange, pomegranate, parsley and mint. |In an another bowl, prepare the dressing. Add olive oil, lemon juice, orange juice, ras el hanout spice blend and kosher salt. Mix it well.|Add the dressing to the salad and mix well. Allow to sit for some time. Serve Moroccan spliced millet salad cold or at room temperature.|Serve Moroccan Spiced Millet And Lentil Salad along with | for weeknight dinner."
Moroccan Style Vegetable Stew Recipe,"Moroccan Style Vegetable Stew Recipe is a perfect vegetarian entree suitable for one of those cold evening, served with steamed saffron pilaf, is truly delectable. The stew, without coconut milk, but used some cream and a fine blend of spices and vegetables like potatoes, carrots, butternut squash/pumpkin, or any combination of the different squashes. Serve Moroccan Style Vegetable Stew Recipe hot over a bed of   or couscous. Try more of our Moroccan cuisine-",African,Appetizer,Vegetarian,Extra Virgin Olive Oil|Onions|Garlic|Fresh cream|Cumin powder (Jeera)|Red Chilli powder|Cloves (Laung)|Cardamom Powder (Elaichi)|Cinnamon Powder (Dalchini)|Potatoes (Aloo)|Kaddu (Parangikai/ Pumpkin)|Carrots (Gajjar)|Kabuli Chana (White Chickpeas)|Black olives|Lemon juice|Coriander (Dhania) Leaves|Salt,"To prepare Moroccan-Style Vegetable Stew Recipe, heat the oil in a large | over medium heat.|Add the onion and the garlic, stirring until it gets tender and golden brown.|Add the water or the stock, chili powder, cumin, cloves, cinnamon, cardamom, and salt. Allow it to boil for a few minutes till everything combines.|Add the cream, potatoes, pumpkin/squash, carrots and chickpeas.|Simmer covered for another 5 -10 minutes until the vegetables are tender and you start to feel the flavors emanating from the stew.|Stir in the lemon juice after switching off heat, adorn the soup with parsley and serve Moroccan-Style Vegetable Stew Recipe hot with | or couscous."
Moroccan Lentil Stew Recipe With Raisins,"Moroccan Lentil Stew Recipe With Raisins is an African flavourful delicacy that uses authentic Moroccan spices. This dish is specially savoured in winters. The local home cooks use winter vegetables paired with dry lentils/ chickpeas to prepare this slow cooked recipe. Serve Moroccan Lentil Stew Recipe With Raisins with quinoa or warm  . If you like this recipe, you can also try",African,Main Course,High Protein Vegetarian,Extra Virgin Olive Oil|Onion|Ginger|Celery|Carrot (Gajjar)|Sweet Potato|Lukewarm Water|Green Moong Dal (Split)|Raisins|Salt|Lemon wedges|Coriander (Dhania) Leaves|Cinnamon Stick (Dalchini)|Paprika powder|Turmeric powder (Haldi)|Garlic powder|Cumin seeds (Jeera)|Cloves (Laung)|Coriander Powder (Dhania)|White pepper powder|Salt,"To start making Moroccan Lentil stew with raisins, make Moroccan spice mix first. Blend all the ingredients mentioned for the spice mix and keep aside. We will need 1-1/2 teaspoons of this mixture to this recipe.|Heat oil over medium in a pressure cooker.|Add onions and sauté until translucent.Add ginger and sauté until fragrant.|Add the chopped celery, cook until they are soft.|Add the prepared moroccan spice mixture, toast them until fragrant.|Add tomato paste and cook until it is caramelized.|Add diced carrots, sweet potato and cook until tender.|Now add lentils, vegetable stalk, water and season with required salt. Pressure cook for 4-5 whistles on medium flame.|Switch off and open the cooker once the pressure is down.When lentils are tender, check for salt.|Add chopped raisins and stir well. garnish with cilantro and lime wedges. Serve warm with couscous or rice."
"Moroccan Fennel, Roasted Beet & Citrus Salad with Fennel-Beet Yogurt Dressing Recipe","Moroccan Fennel, Roasted Beet & Citrus Salad with Fennel-Beet Yogurt Dressing is full of dramatic colors, bright and sharp flavors, and also contrasting light textures. This classic Moroccan salad, is the combination of fennel, beet and mandarin orange, which is perfect for a wintertime brunch. The flavors are quite unique with fennel-beet yogurt dressing. My favorite thing in this salad is the roasted Beet! Clearly, I'm a fan of beet. This salad is super healthy and surprisingly super delicious too. All the ingredients go so well with each other to create a light tasty salad. Serve Moroccan Fennel, Roasted Beet & Citrus Salad with Fennel-Beet Yogurt Dressing with soup and crusty bread for a weeknight dinner. Other Salad recipes that you can try are:      ",African,Side Dish,Vegetarian,Mandarin Orange|Beetroot|Fennel bulb|Fennel Green Leafy Fronds|Onion|Tomato|Cucumber|Spinach|Purple cabbage|Extra Virgin Olive Oil|Fennel seeds (Saunf)|Salt|Black pepper powder|Lemon juice,"To begin the preparation of Moroccan Fennel, Roasted Beet & Citrus Salad with Fennel-Beet Yogurt Dressing, first slice the beet and grilled them on stove with drizzling little olive oil. |Save a small sliced grilled beet for dressing.|Take a mixing bowl and add all vegetable in the bowl including grilled diced beets, and mix them well.|Keep the bowl aside.|Take all dressing ingredients into a blender including one slice of saved grilled beet and blend them well.|Keep the dressing in a small bowl.|Toss the salad and transfer into serving plate or a bowl. |Drizzle fennel-beet yogurt on the top of the salad. |Your Moroccan Fennel, Roasted Beet & Citrus Salad with Fennel-Beet Yogurt Dressing is ready to be served!"
Moroccan Spiced Cauliflower And Almond Soup Recipe,"Moroccan Spiced Cauliflower And Almond Soup is buttery and creamy soup perfect for cold days. With olive oil, jalapenos, green chilli paste and scallions, this rich Moroccan Spiced Cauliflower And Almond Soup Recipe is great to have as a light dinner with a salad or along with a crusty bread like  . If you like this recipe, here are more exotic soup recipes to try",African,Appetizer,Vegetarian,Cauliflower (gobi)|Badam (Almond)|Onions|Garlic|Coriander Powder (Dhania)|Cumin powder (Jeera)|Cinnamon Powder (Dalchini)|Pickled Jalapenos|Extra Virgin Olive Oil|Salt|Badam (Almond)|Spring Onion Greens|Green Chilli Paste,"To prepare Moroccan Spiced Cauliflower And Almond Soup Recipe, in a pressure cooker, heat olive oil and add garlic, onions, almonds and cauliflower florets along with jalapenos (or chillies if using) and sauté for about 2 to 3 minutes on medium low heat.|Add the spice powders (coriander, cumin and cinnamon) along with the chili paste and fry again for about a minute.|Add about 1 to 1-1/2 cups of water in the pressure cooker and close the lid. Cook on high for about 2 whistles.|If using a saucepan, cook, covered for about 15 to 20 minutes until the cauliflower is tender.|Once cooked, drain the soup into a pot over a colander.|Remove the slit jalapenos and blend the cooked vegetables in a blender to a smooth paste.|Add the blended vegetables to the drained liquid and mix well.  Add more water if necessary to get the consistency you want.|Add salt to taste. Bring to a boil in a saucepan and simmer for about 2 to 3 minutes.|Serve garnished with almonds, scallion greens or coriander leaves/cilantro and a drizzle of chili paste.|Aromatic and exotic Moroccan spiced cauliflower and almond soup recipe is ready to be served with a crusty bread like |."
Chickpea & Date Tagine Recipe,"Tagine is a food culture of the Moroccan and Algerian countries. Tagine is a shallow earthen pot which has a tall lid and food cooked in tagine tastes amazing. Dishes made of tagine are usually slow cooked mostly on fire or grill, these days the tagine is cooked in oven too. Chickpea and date is cooked in tagine clay pot on slow cooking method along with Moroccan spices. Moroccan spices are subtle, it goes easy on your palate and make you want to for the next bite. Try this chickpea and date tagine. Serve Chickpea & Date Tagine on its own with a glass of red wine for a weekend dinner. If you like this recipe, you can also try other Moroccan recipes such as",African,Dinner,High Protein Vegetarian,Kabuli Chana (White Chickpeas)|Dates|Onion|Garlic|Ginger|Cumin powder (Jeera)|Coriander Powder (Dhania)|Cinnamon Powder (Dalchini)|Paprika powder|Salt|Extra Virgin Olive Oil|Mint Leaves (Pudina)|Couscous,"To begin making the Chickpea & Date Tagine recipe, soak chickpeas over night in enough water. Next morning pressure cook. Keep aside. |Heat olive oil in a tagine. Add minced garlic and ginger and sauté until raw smell goes away. Add finely chopped onions and sauté until onions turn translucent. |Add tomato puree and cook till oil separates from the sides of the pan. Add all the spice powders along with salt. Add cooked chickpeas and dates, mix. |Cook for 5 minutes, covered. Add about 1/4 cup water and continue to cook with tagine lid on. |While chickpeas are cooking, we will prepare out couscous. For 1 cup couscous, take 1-1/2 cup water. In a big sauce pan boil 1-1/2 cup water along with 1/2 teaspoon salt and 1 tablespoon olive oil. |When water starts boiling, turn off flame and add couscous to the sauce pan, cover and let the couscous cook for 5 minutes. Fluff the grains using a fork. That’s it. |Just serving, you can add flavour like lemon zest or sprinkle in some dry fruits. Once the chickpea date tagine is ready, sprinkle chopped mint leaves for garnish. Serve hot with couscous.|Serve Chickpea & Date Tagine on its own with a glass of red wine for a weekend dinner."
Ras El Hanout Recipe (Moroccan Spice Powder),"Ras El Hanout Recipe (Moroccan Spice Powder) is one of those spice powders which will come in handy when you are in mood to open up to African recipes. Home made spice blends are so easy to make and store. You always have a room to alter spice levels to suit your taste. Ras El Hanout is one of the most popular Moroccan spice blend and a widely used spice in Moroccan cuisine. This spice blend is complex in flavors due to more than a dozen spice ingredients in it. Ras El Hanout Recipe (Moroccan Spice Powder) can be used in marinade of meats, in tagines, whisked in yogurt to give an amazing dip/spread and many more or even sprinkle it over salads for a kick. Here are some more spice powders that you can easily make at home",African,,Vegetarian,Cinnamon Stick (Dalchini)|Cloves (Laung)|Cardamom (Elaichi) Pods/Seeds|Coriander (Dhania) Seeds|Cumin seeds (Jeera)|Paprika powder|Whole Black Peppercorns|Turmeric powder (Haldi)|Mace powder|Red Chilli flakes|Nutmeg powder|Fennel seeds (Saunf)|Dry ginger powder|Star anise|Dried rose petals,"To make the Ras El Hanout Recipe (Moroccan Spice Powder), get prepped with all the spices required.|Heat a kadai and dry roast every spice till aromatic, separately, with care not to brown or burn any of them. We just want to warm the spices so it releases its amazing fragrant oil from it.|Remove from pan immediately and allow each spice to cool.|Now into a good blends add all the ingredients roasted along with the other ingredients from the list and blend into powder in a mixer grinder.|Store the Ras El Hanout Recipe (Moroccan Spice Powder) spice blend in a clean, dry, airtight container and use as needed."
Pumpkin Stew With Chickpeas Recipe,"Mildly spiced and flavourful Pumpkin Stew With Chickpeas Recipe makes a nice and healthy dinner or lunch.The stew has sweetness from pumpkin and the addition of raisins and the spices balance it very well giving wonderful flavor and taste to the dish. The flavours are typically Moroccan and its famous dish that goes well with some crusty bread and rice as well. it is typically served on a bed of couscous.  Serve Pumpkin Stew With Chickpeas Recipe With   and a   for a delicious continental dinner with friends and family. If you like this recipe, here are few more recipes from African cuisine",African,Main Course,Vegetarian,Kabuli Chana (White Chickpeas)|Kaddu (Parangikai/ Pumpkin)|Carrot (Gajjar)|Onion|Garlic|Ginger|Cumin powder (Jeera)|Coriander Powder (Dhania)|Cinnamon Powder (Dalchini)|Red Chilli flakes|Coriander (Dhania) Leaves|Lemon|Extra Virgin Olive Oil|Salt,"To begin making Pumpkin Stew With Chickpeas Recipe, prep all the ingredients and keep them ready. Soak the chickpeas overnight or for at least 8 hours. Pressure cook the chickpeas along with a little salt and cook until soft for about 30 minutes.|This will yield about 2-1/2 cups of cooked chickpeas.|Heat olive oil in a pan over medium heat;  Add onions, ginger and garlic and saute until the onions become tender and translucent. |Once the onions have softened, add in the carrot and pumpkin, sprinkle salt to taste and a little water, cover and cook till the carrots and pumpkins are cooked until firm. Take care to ensure it does not become too mushy.|Once the vegetables are cooked; add in cumin powder, coriander powder, cinnamon powder, salt, chilli flakes and stir it into the vegetables.|Add the tomato puree and brink the Pumpkin Stew With Chickpeas to a brisk boil. Add a little water if required to adjust the consistency of the stew accordingly. Check the salt and seasonings and adjust according to taste.|After the brisk boil for a couple of minutes, stir in the black raisins to the Pumpkin Stew With Chickpeas and turn off the heat. |Transfer the Pumpkin Stew With Chickpeas Recipe to a serving bowl and serve hot.|Serve Pumpkin Stew With Chickpeas Recipe With | and a | for a delicious continental dinner with friends and family."
Spicy Moroccan Eggs Recipe,"Spicy Moroccan Eggs Recipe is a great exotic breakfast recipe to try on a lazy Sunday morning. Poached eggs in a sauce based on tomatoes, bell peppers spices and onions are divine to taste. This recipe preparation is similar to Shakshouka/Shakshuka which is also a skillet dish. Serve Spicy Moroccan Eggs Recipe for breakfast with a crusty bread like   or  . If you like this recipe, try more exotic recipes like",African,World Breakfast,Eggetarian,Extra Virgin Olive Oil|Onion|Garlic|Coriander Powder (Dhania)|Kala Chana (Brown Chickpeas)|Tomatoes|Yellow Bell Pepper (Capsicum)|Spinach Leaves (Palak)|Coriander (Dhania) Leaves|Whole Eggs|Salt and Pepper,"To prepare Spicy Moroccan Eggs Recipe, heat the oil in a skillet or omelette pan, and saute the onion and garlic for about 5-6 mins or till it turns golden.|Add the harissa paste and coriander powder and mix well.|Add in the vegetable stock and mashed chickpeas and stir well. Cover the lid, simmer and cook for 5 mins.|Add the chopped tomatoes and bell pepper into the pan, mix well and cook for another 10 mins until the tomatoes are soft and mushy.|Fold in the spinach into the pan and mix well such that everything incorporates well.|Season with some salt and grounded black pepper and add chopped coriander leaves and mix well.|Make 2 to 4 hollows/dents (depending on the size of the skillet and eggs used) in the mixture and break in the eggs.|Cover and cook for another 2 mins till the eggs are nicely poached.|Take off the pan from heat and allow to settle for a minute.|Garnish with some more fresh coriander and serve Spicy Moroccan Eggs Recipe hot with | or |."
Moroccan Eggplant And Garbanzo Stew Recipe,"Eggplant and Garbanzo Stew Recipe is a delicious Moroccan stew which is mildly spiced. Moroccan stew is mildly sweet with the addition of cinnamon. To balance the sweetness, cumin and paprika is added. Here, we have made the eggplant and garbanzo (chickpea) version. It is pretty flavourful and also makes for a meal in itself. This is a simple recipe which does not require a lot of prep work and hence be included while planning for weeknight dinners. You must remember to soak garbanzo/chickpeas in the morning if you would to make it for dinner. Serve the Eggplant and Garbanzo Stew Recipe along with couscous, or   and   or as a meal in itself for a protein enriched weeknight dinner with your immediate family. If you like this recipe, try more recipes like",African,Main Course,High Protein Vegetarian,Brinjal (Baingan / Eggplant)|White garbanzo|Onion|Cloves (Laung)|Tomatoes|Paprika powder|Cinnamon Powder (Dalchini)|Cumin powder (Jeera)|White pepper powder|Extra Virgin Olive Oil|Salt,"To begin making Eggplant and Garbanzo Stew Recipe, clean and cut the eggplants, and keep it soaked in water until further cooking.|Wash and soak the garbanzo (chickpeas) overnight, in the morning pressure cook with enough water for 3 whistles of till al dente and keep aside.|Heat olive oil in a pan, add the finely chopped garlic and saute till it turns golden colour.|Add the chopped onions and saute until it turns translucent.|Drain and add the eggplants and saute for 2 minutes.|Add the tomatoes and cook until it turns soft.|Once the tomatoes are soft and mushy, add cinnamon, paprika, white pepper powder, cumin powder, and saute until the spices are cooked and releases their flavour into the recipe.|Season with salt, add the vegetable stock and bring it to a rolling boil.|Add the boiled garbanzo (chickpeas), and simmer for 10 minutes. Switch off the heat when the stew becomes thick and flavourful.|Serve the Eggplant and Garbanzo Stew Recipe along with couscous, or | and | or as a meal in itself for a protein enriched weeknight dinner."
